Gamma, Selfish Profit, Selfish Hash Rate, Honest Hash Rate
0.01, 0.0121928, 0.03, 0.987807
0.01, 0.018244, 0.03, 0.981756
0.01, 0.0156983, 0.03, 0.984302
0.01, 0.0143561, 0.03, 0.985644
0.01, 0.0132626, 0.03, 0.986737
0.01, 0.0135514, 0.03, 0.986449
0.01, 0.0133394, 0.03, 0.986661
0.01, 0.0141368, 0.03, 0.985863
0.01, 0.0196104, 0.03, 0.98039
0.01, 0.0163065, 0.03, 0.983694
0.01, 0.0140728, 0.03, 0.985927
0.01, 0.0140576, 0.03, 0.985942
0.01, 0.0157871, 0.03, 0.984213
0.01, 0.0174191, 0.03, 0.982581
0.01, 0.0137878, 0.03, 0.986212
0.01, 0.015449, 0.03, 0.984551
0.01, 0.0178527, 0.03, 0.982147
0.01, 0.0126686, 0.03, 0.987331
0.01, 0.0137166, 0.03, 0.986283
0.01, 0.0157798, 0.03, 0.98422
0.01, 0.0115622, 0.03, 0.988438
0.01, 0.010283, 0.03, 0.989717
0.01, 0.0159938, 0.03, 0.984006
0.01, 0.0141164, 0.03, 0.985884
0.01, 0.0163917, 0.03, 0.983608
0.01, 0.0147817, 0.03, 0.985218
0.01, 0.0145018, 0.03, 0.985498
0.01, 0.0161085, 0.03, 0.983891
0.01, 0.0176747, 0.03, 0.982325
0.01, 0.0110648, 0.03, 0.988935
0.01, 0.0126263, 0.03, 0.987374
0.01, 0.0158363, 0.03, 0.984164
0.01, 0.0122931, 0.03, 0.987707
0.01, 0.0132052, 0.03, 0.986795
0.01, 0.0169028, 0.03, 0.983097
0.01, 0.0115871, 0.03, 0.988413
0.01, 0.0152563, 0.03, 0.984744
0.01, 0.0117595, 0.03, 0.988241
0.01, 0.011703, 0.03, 0.988297
0.01, 0.0126831, 0.03, 0.987317
0.01, 0.014605, 0.03, 0.985395
0.01, 0.0170315, 0.03, 0.982968
0.01, 0.0167685, 0.03, 0.983231
0.01, 0.0110483, 0.03, 0.988952
0.01, 0.0127698, 0.03, 0.98723
0.01, 0.0137952, 0.03, 0.986205
0.01, 0.0181398, 0.03, 0.98186
0.01, 0.013611, 0.03, 0.986389
0.01, 0.0124549, 0.03, 0.987545
0.01, 0.0145556, 0.03, 0.985444
