Gamma, Stubborn Fork Profit, Stubborn Trail Fork Hash Rate, Honest Profit
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 5.8999e-05, 0.02, 0.999941
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 3.68332e-05, 0.02, 0.999963
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 2.66666e-06, 0.02, 0.999997
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
