Gamma, Selfish Profit, Selfish Hash Rate, Honest Profit
0, 0.00109722, 0.01, 0.998903
0, 0.000248077, 0.01, 0.999752
0, 0.000260153, 0.01, 0.99974
0, 0.000351581, 0.01, 0.999648
0, 0.00102217, 0.01, 0.998978
0, 0.000928233, 0.01, 0.999072
0, 0.000389623, 0.01, 0.99961
0, 7.8748e-05, 0.01, 0.999921
0, 0.000459581, 0.01, 0.99954
0, 0.000579822, 0.01, 0.99942
0, 2.69156e-05, 0.01, 0.999973
0, 0.000336061, 0.01, 0.999664
0, 0.000975843, 0.01, 0.999024
0, 0.000530746, 0.01, 0.999469
0, 0.000319654, 0.01, 0.99968
0, 0.000556821, 0.01, 0.999443
0, 0.000603483, 0.01, 0.999397
0, 0.000691991, 0.01, 0.999308
0, 0.000681496, 0.01, 0.999319
0, 0.000109833, 0.01, 0.99989
0, 0.000553298, 0.01, 0.999447
0, 0.000256901, 0.01, 0.999743
0, 0.000313078, 0.01, 0.999687
0, 0.000923782, 0.01, 0.999076
0, 0.00044696, 0.01, 0.999553
0, 0.000323076, 0.01, 0.999677
0, 0.00196898, 0.02, 0.998031
0, 0.00159338, 0.02, 0.998407
0, 0.00171929, 0.02, 0.998281
0, 0.0014293, 0.02, 0.998571
0, 0.00200189, 0.02, 0.997998
0, 0.00171915, 0.02, 0.998281
0, 0.00216524, 0.02, 0.997835
0, 0.00128049, 0.02, 0.99872
0, 0.00132942, 0.02, 0.998671
0, 0.00147345, 0.02, 0.998527
0, 0.0017456, 0.02, 0.998254
0, 0.00158522, 0.02, 0.998415
0, 0.000793336, 0.02, 0.999207
0, 0.00133479, 0.02, 0.998665
0, 0.000495234, 0.02, 0.999505
0, 0.00155583, 0.02, 0.998444
0, 0.00199919, 0.02, 0.998001
0, 0.000932801, 0.02, 0.999067
0, 0.00120238, 0.02, 0.998798
0, 0.00129761, 0.02, 0.998702
0, 0.00310213, 0.02, 0.996898
0, 0.00322055, 0.02, 0.996779
0, 0.0027114, 0.02, 0.997289
0, 0.00192586, 0.02, 0.998074
0, 0.00132908, 0.02, 0.998671
0, 0.00224142, 0.02, 0.997759
0, 0.00141424, 0.02, 0.998586
0, 0.00144383, 0.02, 0.998556
0, 0.00208504, 0.02, 0.997915
0, 0.00167585, 0.02, 0.998324
0, 0.00111621, 0.02, 0.998884
0, 0.00134367, 0.02, 0.998656
0, 0.00177538, 0.02, 0.998225
0, 0.00115858, 0.02, 0.998841
0, 0.00234982, 0.02, 0.99765
0, 0.00144021, 0.02, 0.99856
0, 0.00128458, 0.02, 0.998715
0, 0.00198656, 0.02, 0.998013
0, 0.00195249, 0.02, 0.998048
0, 0.000812989, 0.02, 0.999187
0, 0.00185767, 0.02, 0.998142
0, 0.00226636, 0.02, 0.997734
0, 0.00194538, 0.02, 0.998055
0, 0.00204723, 0.02, 0.997953
0, 0.00161447, 0.02, 0.998386
0, 0.00141866, 0.02, 0.998581
0, 0.00103214, 0.02, 0.998968
0, 0.00266695, 0.02, 0.997333
0, 0.00137248, 0.02, 0.998628
0, 0.00115023, 0.02, 0.99885
0, 0.00178234, 0.02, 0.998218
0, 0.00189857, 0.02, 0.998101
0, 0.00162415, 0.02, 0.998376
0, 0.00111115, 0.02, 0.998889
0, 0.00160841, 0.02, 0.998392
0, 0.00200341, 0.02, 0.997997
0, 0.00124559, 0.02, 0.998754
0, 0.00331658, 0.02, 0.996683
0, 0.00181296, 0.02, 0.998187
0, 0.00261026, 0.02, 0.99739
0, 0.00111781, 0.02, 0.998882
0, 0.00108763, 0.02, 0.998912
0, 0.00207733, 0.02, 0.997923
0, 0.00135832, 0.02, 0.998642
0, 0.00170123, 0.02, 0.998299
0, 0.0026621, 0.02, 0.997338
0, 0.00145474, 0.02, 0.998545
0, 0.00124123, 0.02, 0.998759
0, 0.00207752, 0.02, 0.997922
0, 0.00188217, 0.02, 0.998118
0, 0.00160328, 0.02, 0.998397
0, 0.00228743, 0.02, 0.997713
0, 0.00192153, 0.02, 0.998078
0, 0.00194204, 0.02, 0.998058
0, 0.0022829, 0.02, 0.997717
0, 0.00163807, 0.02, 0.998362
0, 0.00250826, 0.02, 0.997492
0, 0.0016731, 0.02, 0.998327
0, 0.00196847, 0.02, 0.998032
0, 0.00184772, 0.02, 0.998152
0, 0.00134664, 0.02, 0.998653
0, 0.00168501, 0.02, 0.998315
0, 0.00114595, 0.02, 0.998854
0, 0.00147111, 0.02, 0.998529
0, 0.000980825, 0.02, 0.999019
0, 0.00198315, 0.02, 0.998017
0, 0.00233223, 0.02, 0.997668
0, 0.00340582, 0.02, 0.996594
0, 0.00234115, 0.02, 0.997659
0, 0.00234124, 0.02, 0.997659
0, 0.00146725, 0.02, 0.998533
0, 0.00219599, 0.02, 0.997804
0, 0.00274803, 0.02, 0.997252
0, 0.00270341, 0.02, 0.997297
0, 0.00255765, 0.02, 0.997442
0, 0.00348911, 0.02, 0.996511
0, 0.00189555, 0.02, 0.998104
0, 0.00112989, 0.02, 0.99887
0, 0.00150015, 0.02, 0.9985
0, 0.00203441, 0.02, 0.997966
0, 0.00310116, 0.03, 0.996899
0, 0.00497947, 0.03, 0.995021
0, 0.00326423, 0.03, 0.996736
0, 0.00420045, 0.03, 0.9958
0, 0.00351871, 0.03, 0.996481
0, 0.00356529, 0.03, 0.996435
0, 0.00352364, 0.03, 0.996476
0, 0.00295007, 0.03, 0.99705
0, 0.0058711, 0.03, 0.994129
0, 0.00521581, 0.03, 0.994784
0, 0.00301967, 0.03, 0.99698
0, 0.00584057, 0.03, 0.994159
0, 0.00341081, 0.03, 0.996589
0, 0.00240512, 0.03, 0.997595
0, 0.0059785, 0.03, 0.994022
0, 0.00480929, 0.03, 0.995191
0, 0.00324274, 0.03, 0.996757
0, 0.00481146, 0.03, 0.995189
0, 0.00510374, 0.03, 0.994896
0, 0.00452026, 0.03, 0.99548
0, 0.00341721, 0.03, 0.996583
0, 0.00468884, 0.03, 0.995311
0, 0.00509036, 0.03, 0.99491
0, 0.00306638, 0.03, 0.996934
0, 0.00424967, 0.03, 0.99575
0, 0.0049195, 0.03, 0.995081
0, 0.00337422, 0.03, 0.996626
0, 0.00298386, 0.03, 0.997016
0, 0.00448945, 0.03, 0.995511
0, 0.0052509, 0.03, 0.994749
0, 0.00467204, 0.03, 0.995328
0, 0.00646358, 0.03, 0.993536
0, 0.00564159, 0.03, 0.994358
0, 0.0024258, 0.03, 0.997574
0, 0.00315789, 0.03, 0.996842
0, 0.00473066, 0.03, 0.995269
0, 0.0033428, 0.03, 0.996657
0, 0.00358104, 0.03, 0.996419
0, 0.00309616, 0.03, 0.996904
0, 0.00473322, 0.03, 0.995267
0, 0.00510836, 0.03, 0.994892
0, 0.00225243, 0.03, 0.997748
0, 0.00302024, 0.03, 0.99698
0, 0.00289495, 0.03, 0.997105
0, 0.00496584, 0.03, 0.995034
0, 0.00388234, 0.03, 0.996118
0, 0.00486066, 0.03, 0.995139
0, 0.00397454, 0.03, 0.996025
0, 0.00396236, 0.03, 0.996038
0, 0.00292289, 0.03, 0.997077
0, 0.00365811, 0.03, 0.996342
0, 0.00470682, 0.03, 0.995293
0, 0.00423343, 0.03, 0.995767
0, 0.00409027, 0.03, 0.99591
0, 0.004938, 0.03, 0.995062
0, 0.00328764, 0.03, 0.996712
0, 0.00325795, 0.03, 0.996742
0, 0.00386808, 0.03, 0.996132
0, 0.00381028, 0.03, 0.99619
0, 0.00340261, 0.03, 0.996597
0, 0.00368763, 0.03, 0.996312
0, 0.00301587, 0.03, 0.996984
0, 0.00284644, 0.03, 0.997154
0, 0.00426061, 0.03, 0.995739
0, 0.0039544, 0.03, 0.996046
0, 0.00716888, 0.03, 0.992831
0, 0.00460026, 0.03, 0.9954
0, 0.00401411, 0.03, 0.995986
