Gamma, Publish N Profit, Publish N Hash Rate, Honest Hash Rate
0, 0.00201398, 0.02, 0.997986
0, 0.00205057, 0.02, 0.997949
0, 0.00259737, 0.02, 0.997403
0, 0.00140409, 0.02, 0.998596
0, 0.00213764, 0.02, 0.997862
0, 0.00175239, 0.02, 0.998248
0, 0.00281237, 0.02, 0.997188
0, 0.00231348, 0.02, 0.997687
0, 0.00219584, 0.02, 0.997804
0, 0.00210713, 0.02, 0.997893
0, 0.00157439, 0.02, 0.998426
0, 0.00170005, 0.02, 0.9983
0, 0.00234705, 0.02, 0.997653
0, 0.00260879, 0.02, 0.997391
0, 0.00219328, 0.02, 0.997807
0, 0.00219432, 0.02, 0.997806
0, 0.00189124, 0.02, 0.998109
0, 0.00233528, 0.02, 0.997665
0, 0.000825167, 0.02, 0.999175
0, 0.001914, 0.02, 0.998086
0, 0.00273093, 0.02, 0.997269
0, 0.00222588, 0.02, 0.997774
0, 0.00213946, 0.02, 0.997861
0, 0.00141474, 0.02, 0.998585
0, 0.00232222, 0.02, 0.997678
0, 0.00199119, 0.02, 0.998009
0, 0.00227851, 0.02, 0.997721
0, 0.00219399, 0.02, 0.997806
0, 0.0012544, 0.02, 0.998746
0, 0.00158957, 0.02, 0.99841
0, 0.00406649, 0.02, 0.995934
0, 0.00191683, 0.02, 0.998083
0, 0.00108671, 0.02, 0.998913
0, 0.00159908, 0.02, 0.998401
0, 0.00123673, 0.02, 0.998763
0, 0.00267235, 0.02, 0.997328
0, 0.0010679, 0.02, 0.998932
0, 0.00175896, 0.02, 0.998241
0, 0.00209957, 0.02, 0.9979
0, 0.0016564, 0.02, 0.998344
0, 0.00183724, 0.02, 0.998163
0, 0.001842, 0.02, 0.998158
0, 0.00247573, 0.02, 0.997524
0, 0.00233352, 0.02, 0.997666
0, 0.00262412, 0.025, 0.997376
0, 0.0041735, 0.025, 0.995826
0, 0.00377906, 0.025, 0.996221
0, 0.00360449, 0.025, 0.996396
0, 0.00303224, 0.025, 0.996968
0, 0.0027299, 0.025, 0.99727
0, 0.00432097, 0.025, 0.995679
0, 0.00344199, 0.025, 0.996558
0, 0.00212828, 0.025, 0.997872
0, 0.00266219, 0.025, 0.997338
0, 0.002493, 0.025, 0.997507
0, 0.0043292, 0.025, 0.995671
0, 0.00262311, 0.025, 0.997377
0, 0.00304474, 0.025, 0.996955
0, 0.00261719, 0.025, 0.997383
0, 0.00166082, 0.025, 0.998339
0, 0.0015829, 0.025, 0.998417
0, 0.00302081, 0.025, 0.996979
0, 0.00333433, 0.025, 0.996666
0, 0.00235015, 0.025, 0.99765
0, 0.00272706, 0.025, 0.997273
0, 0.00504399, 0.025, 0.994956
0, 0.00333615, 0.025, 0.996664
0, 0.00422696, 0.025, 0.995773
0, 0.00322406, 0.025, 0.996776
0, 0.00249161, 0.025, 0.997508
0, 0.00296538, 0.025, 0.997035
