Gamma, Stubborn Fork Profit, Stubborn Lead Trail Hash Rate, Honest Profit
0, 0.00102989, 0.02, 0.99897
0, 0.000877711, 0.02, 0.999122
0, 0.000465825, 0.02, 0.999534
0, 0.000766962, 0.02, 0.999233
0, 0.000795402, 0.02, 0.999205
0, 0.00112557, 0.02, 0.998874
0, 0.00155581, 0.02, 0.998444
0, 0.00160077, 0.02, 0.998399
0, 0.00224916, 0.02, 0.997751
0, 0.00130661, 0.02, 0.998693
0, 0.00121238, 0.02, 0.998788
0, 0.00144992, 0.02, 0.99855
0, 0.00112844, 0.02, 0.998872
0, 0.00116425, 0.02, 0.998836
0, 0.000421069, 0.02, 0.999579
0, 0.00142781, 0.02, 0.998572
0, 0.000944394, 0.02, 0.999056
0, 0.00167222, 0.02, 0.998328
0, 0.00172019, 0.02, 0.99828
0, 0.000904312, 0.02, 0.999096
0, 0.00167976, 0.02, 0.99832
0, 0.00119266, 0.02, 0.998807
0, 0.000863782, 0.02, 0.999136
0, 0.000798435, 0.02, 0.999202
0, 0.000965639, 0.02, 0.999034
0, 0.00115656, 0.02, 0.998843
0, 0.0012918, 0.02, 0.998708
0, 0.00117559, 0.02, 0.998824
0, 0.00067515, 0.02, 0.999325
0, 0.00142016, 0.02, 0.99858
0, 0.000976977, 0.02, 0.999023
0, 0.000474154, 0.02, 0.999526
0, 0.00114958, 0.02, 0.99885
0, 0.00126342, 0.02, 0.998737
0, 0.00243093, 0.02, 0.997569
0, 0.00224215, 0.02, 0.997758
0, 0.00192448, 0.02, 0.998076
0, 0.00157841, 0.02, 0.998422
0, 0.00138515, 0.02, 0.998615
0, 0.00149144, 0.02, 0.998509
0, 0.00113798, 0.02, 0.998862
0, 0.000957986, 0.02, 0.999042
0, 0.00103827, 0.02, 0.998962
0, 0.000553192, 0.02, 0.999447
0, 0.00113701, 0.02, 0.998863
0, 0.00121666, 0.02, 0.998783
0, 0.00196608, 0.02, 0.998034
0, 0.0010269, 0.02, 0.998973
0, 0.00207005, 0.02, 0.99793
0, 0.00163358, 0.02, 0.998366
0, 0.000371329, 0.02, 0.999629
0, 0.000778821, 0.02, 0.999221
0, 0.000826713, 0.02, 0.999173
0, 0.000772187, 0.02, 0.999228
0, 0.00143962, 0.02, 0.99856
0, 0.001242, 0.02, 0.998758
0, 0.000952742, 0.02, 0.999047
0, 0.00130078, 0.02, 0.998699
0, 0.000872651, 0.02, 0.999127
0, 0.000653719, 0.02, 0.999346
0, 0.000534516, 0.02, 0.999465
0, 0.000854393, 0.02, 0.999146
0, 0.00162675, 0.02, 0.998373
0, 0.00058356, 0.02, 0.999416
0, 0.00139857, 0.02, 0.998601
0, 0.00152422, 0.02, 0.998476
0, 0.00121858, 0.02, 0.998781
0, 0.00104754, 0.02, 0.998952
0, 0.00117262, 0.02, 0.998827
0, 0.000436328, 0.02, 0.999564
0, 0.0010755, 0.02, 0.998925
0, 0.000937974, 0.02, 0.999062
0, 0.000819241, 0.02, 0.999181
0, 0.000719193, 0.02, 0.999281
0, 0.00224093, 0.02, 0.997759
0, 0.0025741, 0.02, 0.997426
0, 0.00232193, 0.03, 0.997678
0, 0.00169601, 0.03, 0.998304
0, 0.0016403, 0.03, 0.99836
0, 0.00184922, 0.03, 0.998151
0, 0.00337764, 0.03, 0.996622
0, 0.00410374, 0.03, 0.995896
0, 0.00309908, 0.03, 0.996901
0, 0.00303648, 0.03, 0.996964
0, 0.00320983, 0.03, 0.99679
0, 0.00221637, 0.03, 0.997784
0, 0.00191007, 0.03, 0.99809
0, 0.00190507, 0.03, 0.998095
0, 0.00310867, 0.03, 0.996891
0, 0.00355109, 0.03, 0.996449
0, 0.001642, 0.03, 0.998358
0, 0.00297898, 0.03, 0.997021
0, 0.00153605, 0.03, 0.998464
0, 0.00180742, 0.03, 0.998193
0, 0.00264886, 0.03, 0.997351
0, 0.00298183, 0.03, 0.997018
0, 0.0026906, 0.03, 0.997309
0, 0.0023744, 0.03, 0.997626
0, 0.0029324, 0.03, 0.997068
0, 0.00253831, 0.03, 0.997462
0, 0.00304082, 0.03, 0.996959
0, 0.0026898, 0.03, 0.99731
0, 0.00211296, 0.03, 0.997887
0, 0.00335113, 0.03, 0.996649
0, 0.00172975, 0.03, 0.99827
0, 0.00273088, 0.03, 0.997269
0, 0.00292727, 0.03, 0.997073
0, 0.00304553, 0.03, 0.996954
0, 0.0030622, 0.03, 0.996938
0, 0.00182975, 0.03, 0.99817
0, 0.00247411, 0.03, 0.997526
0, 0.00162043, 0.03, 0.99838
0, 0.00337765, 0.03, 0.996622
0, 0.00250991, 0.03, 0.99749
0, 0.00271329, 0.03, 0.997287
0, 0.00338429, 0.03, 0.996616
0, 0.00227194, 0.03, 0.997728
0, 0.00190447, 0.03, 0.998096
0, 0.00355662, 0.03, 0.996443
0, 0.00345229, 0.03, 0.996548
0, 0.00285857, 0.03, 0.997141
0, 0.00240933, 0.03, 0.997591
0, 0.00341995, 0.03, 0.99658
0, 0.00280514, 0.03, 0.997195
0, 0.00167407, 0.03, 0.998326
0, 0.00119139, 0.03, 0.998809
0, 0.00206739, 0.03, 0.997933
0, 0.00199364, 0.03, 0.998006
0, 0.00308791, 0.03, 0.996912
0, 0.00294667, 0.03, 0.997053
0, 0.0026593, 0.03, 0.997341
0, 0.00338275, 0.03, 0.996617
0, 0.00313907, 0.03, 0.996861
0, 0.00303394, 0.03, 0.996966
0, 0.00320802, 0.03, 0.996792
0, 0.0022057, 0.03, 0.997794
0, 0.00265256, 0.03, 0.997347
0, 0.00211652, 0.03, 0.997883
0, 0.00315824, 0.03, 0.996842
0, 0.00171801, 0.03, 0.998282
0, 0.00156195, 0.03, 0.998438
0, 0.00196308, 0.03, 0.998037
0, 0.00212641, 0.03, 0.997874
0, 0.00173841, 0.03, 0.998262
0, 0.00318455, 0.03, 0.996815
0, 0.00140276, 0.03, 0.998597
0, 0.00238684, 0.03, 0.997613
0, 0.00213019, 0.03, 0.99787
0, 0.00167601, 0.03, 0.998324
0, 0.00355244, 0.03, 0.996448
0, 0.00221931, 0.03, 0.997781
0, 0.00393356, 0.03, 0.996066
0, 0.00262907, 0.03, 0.997371
0, 0.00181263, 0.03, 0.998187
0, 0.00348489, 0.03, 0.996515
0, 0.00124729, 0.03, 0.998753
0, 0.00311221, 0.03, 0.996888
0, 0.00271033, 0.03, 0.99729
0, 0.00267131, 0.03, 0.997329
0, 0.00188477, 0.03, 0.998115
0, 0.00213844, 0.03, 0.997862
0, 0.00357361, 0.03, 0.996426
0, 0.00273995, 0.03, 0.99726
0, 0.00367294, 0.03, 0.996327
0, 0.00252366, 0.03, 0.997476
0, 0.00243887, 0.03, 0.997561
0, 0.00250398, 0.03, 0.997496
0, 0.00356073, 0.03, 0.996439
0, 0.00285198, 0.03, 0.997148
0, 0.00183917, 0.03, 0.998161
0, 0.00235455, 0.03, 0.997645
0, 0.00187904, 0.03, 0.998121
0, 0.00253055, 0.03, 0.997469
0, 0.00158729, 0.03, 0.998413
0, 0.00441578, 0.03, 0.995584
0, 0.00397856, 0.03, 0.996021
0, 0.00473155, 0.04, 0.995268
0, 0.00510958, 0.04, 0.99489
0, 0.00301146, 0.04, 0.996989
0, 0.00534795, 0.04, 0.994652
0, 0.00552023, 0.04, 0.99448
0, 0.00528639, 0.04, 0.994714
0, 0.00625774, 0.04, 0.993742
0, 0.00603025, 0.04, 0.99397
0, 0.00498356, 0.04, 0.995016
0, 0.00311429, 0.04, 0.996886
0, 0.0042805, 0.04, 0.995719
0, 0.00381384, 0.04, 0.996186
0, 0.00403424, 0.04, 0.995966
0, 0.00558406, 0.04, 0.994416
0, 0.00488553, 0.04, 0.995114
0, 0.00596163, 0.04, 0.994038
0, 0.0034985, 0.04, 0.996502
0, 0.00326166, 0.04, 0.996738
0, 0.00410134, 0.04, 0.995899
0, 0.00500303, 0.04, 0.994997
0, 0.00387806, 0.04, 0.996122
0, 0.00458645, 0.04, 0.995414
0, 0.00414451, 0.04, 0.995855
0, 0.00494773, 0.04, 0.995052
0, 0.00424339, 0.04, 0.995757
0, 0.00296464, 0.04, 0.997035
0, 0.00346388, 0.04, 0.996536
0, 0.00558833, 0.04, 0.994412
0, 0.00408282, 0.04, 0.995917
0, 0.00376427, 0.04, 0.996236
0, 0.00384623, 0.04, 0.996154
0, 0.00499158, 0.04, 0.995008
0, 0.00631103, 0.04, 0.993689
0, 0.00615169, 0.04, 0.993848
0, 0.00536173, 0.04, 0.994638
0, 0.00333463, 0.04, 0.996665
0, 0.00465703, 0.04, 0.995343
0, 0.00462308, 0.04, 0.995377
0, 0.00390999, 0.04, 0.99609
0, 0.0048459, 0.04, 0.995154
0, 0.00536721, 0.04, 0.994633
0, 0.00567718, 0.04, 0.994323
0, 0.00436332, 0.04, 0.995637
0, 0.00433483, 0.04, 0.995665
0, 0.00358445, 0.04, 0.996416
0, 0.00392556, 0.04, 0.996074
0, 0.00426345, 0.04, 0.995737
0, 0.00384067, 0.04, 0.996159
0, 0.00488474, 0.04, 0.995115
0, 0.00379875, 0.04, 0.996201
0, 0.00533588, 0.04, 0.994664
0, 0.00483571, 0.04, 0.995164
0, 0.00389203, 0.04, 0.996108
0, 0.00354139, 0.04, 0.996459
0, 0.00369554, 0.04, 0.996304
0, 0.00387879, 0.04, 0.996121
0, 0.00537067, 0.04, 0.994629
0, 0.00476646, 0.04, 0.995234
0, 0.00587592, 0.04, 0.994124
0, 0.00407236, 0.04, 0.995928
0, 0.00583849, 0.04, 0.994162
0, 0.00424259, 0.04, 0.995757
