Gamma, Stubborn Fork Profit, Stubborn Lead Trail Fork Hash Rate, Honest Profit
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 9.11619e-05, 0.02, 0.999909
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.02, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 4.16656e-05, 0.03, 0.999958
0, 0, 0.03, 1
0, 0, 0.03, 1
0, 0, 0.03, 1
