Gamma, Classic Selfish Profit, Classic Selfish Hash Rate, Honest Hash Rate
0, 0.00452058, 0.03, 0.995479
0, 0.00422694, 0.03, 0.995773
0, 0.00316641, 0.03, 0.996834
0, 0.00420619, 0.03, 0.995794
0, 0.00356697, 0.03, 0.996433
0, 0.00307699, 0.03, 0.996923
0, 0.00473537, 0.03, 0.995265
0, 0.00341902, 0.03, 0.996581
0, 0.00559613, 0.03, 0.994404
0, 0.00386246, 0.03, 0.996138
0, 0.00393368, 0.03, 0.996066
0, 0.00332207, 0.03, 0.996678
0, 0.00449354, 0.03, 0.995506
0, 0.00395916, 0.03, 0.996041
0, 0.00458727, 0.03, 0.995413
0, 0.00465331, 0.03, 0.995347
0, 0.00587924, 0.03, 0.994121
0, 0.00448488, 0.03, 0.995515
0, 0.00617879, 0.035, 0.993821
0, 0.00520231, 0.035, 0.994798
0, 0.00615266, 0.035, 0.993847
0, 0.00511222, 0.035, 0.994888
0, 0.00542748, 0.035, 0.994573
0, 0.00656956, 0.035, 0.99343
0, 0.00607413, 0.035, 0.993926
0, 0.00532964, 0.035, 0.99467
0, 0.00438694, 0.035, 0.995613
0, 0.00448956, 0.035, 0.99551
0, 0.00721772, 0.035, 0.992782
0, 0.00578024, 0.035, 0.99422
0, 0.00548585, 0.035, 0.994514
0, 0.00491084, 0.035, 0.995089
0, 0.00563587, 0.035, 0.994364
0, 0.00552804, 0.035, 0.994472
0, 0.00423264, 0.035, 0.995767
0, 0.00659414, 0.035, 0.993406
0, 0.00605601, 0.035, 0.993944
0, 0.00432232, 0.035, 0.995678
0, 0.00538239, 0.035, 0.994618
0, 0.00546666, 0.035, 0.994533
0, 0.0061462, 0.035, 0.993854
0, 0.00513742, 0.035, 0.994863
0, 0.00589932, 0.035, 0.994101
0, 0.00552682, 0.04, 0.994473
0, 0.00716242, 0.04, 0.992838
0, 0.0083587, 0.04, 0.991641
0, 0.00861432, 0.04, 0.991386
0, 0.00680861, 0.04, 0.993191
0, 0.00644113, 0.04, 0.993559
0, 0.00774065, 0.04, 0.992259
0, 0.00884153, 0.04, 0.991158
0, 0.0096669, 0.04, 0.990333
0, 0.00728234, 0.04, 0.992718
0, 0.00593729, 0.04, 0.994063
0, 0.00497642, 0.04, 0.995024
