Gamma,HashRate,Fork,TrailFork,Dynamic,BestStatic,WorstStatic,DynamicVsBest,DynamicVsWorst,Category,HashRateRange
0.95,0.27,0.32445444,0.27168208,0.30156711999999997,0.32445444,0.27168208,-0.022887320000000044,0.029885039999999974,MODERATE,25-30%
0.95,0.28,0.33783251999999997,0.27932672000000003,0.31367228,0.33783251999999997,0.27932672000000003,-0.024160239999999944,0.03434556,MODERATE,25-30%
0.95,0.29,0.35530188,0.29051152,0.32578508,0.35530188,0.29051152,-0.02951680000000001,0.03527355999999998,MODERATE,25-30%
0.95,0.3,0.37365828,0.29974948,0.33929788,0.37365828,0.29974948,-0.03436040000000001,0.039548399999999984,MODERATE,25-30%
1.0,0.15,0.16837575999999999,0.1488934,0.15863156,0.16837575999999999,0.1488934,-0.00974419999999998,0.009738159999999996,MODERATE,15-20%
1.0,0.16,0.18086587999999998,0.15941872,0.17081264000000002,0.18086587999999998,0.15941872,-0.010053239999999963,0.011393920000000002,MODERATE,15-20%
1.0,0.17,0.19396296,0.1708588,0.18193252000000001,0.19396296,0.1708588,-0.012030439999999976,0.011073720000000009,MODERATE,15-20%
1.0,0.18,0.20542152000000002,0.17939636,0.19539732,0.20542152000000002,0.17939636,-0.010024200000000011,0.01600096000000001,MODERATE,15-20%
1.0,0.19,0.21739512000000003,0.18991816,0.20625744000000001,0.21739512000000003,0.18991816,-0.011137680000000011,0.01633928000000001,MODERATE,15-20%
1.0,0.2,0.23122996,0.20058796,0.21843276,0.23122996,0.20058796,-0.012797200000000009,0.017844799999999994,MODERATE,15-20%
1.0,0.21,0.24505707999999998,0.20999392,0.23044664,0.24505707999999998,0.20999392,-0.014610439999999975,0.020452720000000008,MODERATE,20-25%
1.0,0.22,0.25833967999999996,0.2191472,0.24190972,0.25833967999999996,0.2191472,-0.016429959999999966,0.02276252000000001,MODERATE,20-25%
1.0,0.23,0.2713418,0.2279524,0.25266576,0.2713418,0.2279524,-0.018676040000000005,0.024713360000000018,MODERATE,20-25%
1.0,0.24,0.28582547999999997,0.24044096,0.26595764,0.28582547999999997,0.24044096,-0.01986783999999997,0.025516679999999986,MODERATE,20-25%
1.0,0.25,0.29993936,0.24979496,0.2764044,0.29993936,0.24979496,-0.023534959999999994,0.026609439999999984,MODERATE,20-25%
1.0,0.26,0.31229016000000004,0.25839984,0.29074864,0.31229016000000004,0.25839984,-0.021541520000000036,0.03234880000000001,MODERATE,25-30%
