Gamma,HashRate,Honest,Selfish,Stubborn-Lead,Rotation,BestPure,WorstPure,AvgPure,RotationVsBest,RotationVsWorst,RotationVsAvg,Category,HashRateRange
0.95,0.2,0.20030808,0.22792311999999998,0.2397062,0.22190204000000002,0.2397062,0.20030808,0.2226458,-0.017804159999999986,0.021593960000000023,-0.0007437599999999822,MODERATE,15-20%
0.95,0.21,0.21042856000000001,0.24115231999999998,0.25319052,0.23619727999999998,0.25319052,0.21042856000000001,0.2349238,-0.016993239999999993,0.025768719999999967,0.0012734799999999935,MODERATE,20-25%
0.95,0.22,0.2207012,0.251935,0.2668368,0.24813956,0.2668368,0.2207012,0.24649100000000002,-0.018697239999999976,0.027438360000000023,0.0016485599999999934,MODERATE,20-25%
0.95,0.23,0.23170596,0.26771164,0.28224556,0.26140128,0.28224556,0.23170596,0.26055438666666664,-0.020844279999999993,0.029695320000000025,0.0008468933333333761,MODERATE,20-25%
0.95,0.24,0.23778588,0.28092432,0.29937468,0.27554967999999996,0.29937468,0.23778588,0.27269496,-0.02382500000000004,0.03776379999999996,0.0028547199999999773,MODERATE,20-25%
0.95,0.25,0.2495336,0.29547348,0.31488688,0.28739388,0.31488688,0.2495336,0.28663131999999997,-0.02749299999999999,0.037860279999999996,0.0007625600000000232,MODERATE,20-25%
0.95,0.26,0.26009712,0.30853976,0.33273803999999996,0.30077684,0.33273803999999996,0.26009712,0.3004583066666667,-0.03196119999999997,0.040679719999999975,0.00031853333333331513,MODERATE,25-30%
0.95,0.27,0.2684978,0.32445444,0.34977531999999995,0.31495648,0.34977531999999995,0.2684978,0.31424252,-0.03481883999999996,0.046458679999999974,0.000713959999999958,MODERATE,25-30%
0.95,0.28,0.28001856,0.33783251999999997,0.36635776,0.33030636,0.36635776,0.28001856,0.32806961333333334,-0.036051399999999956,0.050287799999999994,0.002236746666666678,MODERATE,25-30%
0.95,0.29,0.29111556,0.35530188,0.38552948,0.34411372,0.38552948,0.29111556,0.3439823066666667,-0.04141575999999997,0.052998160000000016,0.00013141333333333005,MODERATE,25-30%
0.95,0.3,0.29939267999999997,0.37365828,0.40190168,0.36060000000000003,0.40190168,0.29939267999999997,0.35831754666666665,-0.04130167999999995,0.061207320000000065,0.0022824533333333785,MODERATE,25-30%
1.0,0.15,0.1509774,0.16837575999999999,0.17316755999999997,0.16356916,0.17316755999999997,0.1509774,0.16417357333333335,-0.00959839999999998,0.01259175999999998,-0.000604413333333359,MODERATE,15-20%
1.0,0.16,0.16115228,0.18086587999999998,0.18544564000000002,0.1767874,0.18544564000000002,0.16115228,0.17582126666666667,-0.008658240000000011,0.015635120000000002,0.0009661333333333411,MODERATE,15-20%
1.0,0.17,0.16986288,0.19396296,0.20018183999999997,0.18825967999999998,0.20018183999999997,0.16986288,0.18800255999999996,-0.011922159999999987,0.01839679999999999,0.0002571200000000273,MODERATE,15-20%
1.0,0.18,0.17985868,0.20542152000000002,0.21568263999999998,0.20066344,0.21568263999999998,0.17985868,0.20032094666666667,-0.015019199999999983,0.020804760000000005,0.00034249333333333243,MODERATE,15-20%
1.0,0.19,0.19118455999999998,0.21739512000000003,0.22859791999999998,0.21334216,0.22859791999999998,0.19118455999999998,0.21239253333333333,-0.01525575999999998,0.022157600000000027,0.0009496266666666753,MODERATE,15-20%
1.0,0.2,0.19995648,0.23122996,0.24499172000000002,0.22818908000000002,0.24499172000000002,0.19995648,0.22539272000000002,-0.016802640000000008,0.028232600000000024,0.0027963599999999977,MODERATE,15-20%
1.0,0.21,0.20908480000000002,0.24505707999999998,0.259614,0.2387982,0.259614,0.20908480000000002,0.23791862666666666,-0.020815800000000023,0.029713399999999973,0.0008795733333333278,MODERATE,20-25%
1.0,0.22,0.21992716,0.25833967999999996,0.27470072,0.25366723999999996,0.27470072,0.21992716,0.25098918666666664,-0.02103348000000005,0.03374007999999995,0.002678053333333319,MODERATE,20-25%
1.0,0.23,0.22960519999999998,0.2713418,0.28831996,0.26414348,0.28831996,0.22960519999999998,0.26308898666666664,-0.02417648,0.034538280000000005,0.0010544933333333506,MODERATE,20-25%
1.0,0.24,0.24144876,0.28582547999999997,0.30632292,0.27823183999999995,0.30632292,0.24144876,0.27786572000000004,-0.028091080000000046,0.03678307999999994,0.0003661199999999143,MODERATE,20-25%
